number_episode,episode,link
35,35. Le cinéma a-t-il été inventé par les Français?,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/25653543/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-24%2Fcc5d46891b3413187e80807934b0dba3.m4a
34,34. Vivre à l'étranger ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/25653460/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-24%2F86101611be49c9a6c1660079f446ec92.m4a
33,33. Avoir une bonne routine,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/25131298/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-23%2F471c603793f3821d6099d6bbd710016e.m4a
32,32. Est-ce qu'on se fait toujours la bise?,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/25570391/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-23%2F64469f77eb773b55c2b8be8f9d0f4244.m4a
31,31. Pourquoi les personnages Disney portent des gants? ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/25413478/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-19%2Fbe9ea09e8b1824c8f8d1f3307db02628.m4a
30,30. Pourquoi la Tour Eiffel devait être détruite?,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/25411488/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-19%2F6ccb235c437d188cc46fbe2268811f04.m4a
29,29. Les qualités que j'aime chez les autres ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/25129731/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-16%2Fa3daf6816f3f1613fd83384b19a925fb.m4a
28,28. Mes films d'animation préférés ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/25128617/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-13%2F896991361a9bfd028e9aaec8f30e2dc3.m4a
27,27. Peut-on s'habiller de manière responsable? ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/24765293/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2F4add2121fb227c0ff27508d637a5a6c2.m4a
26,26. Découvrez les régions de France : Le Pays Basque ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/24872104/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2Fa31f59d0cf21cb14b1e89b84ee65648d.m4a
25,25. Les Français parlent-ils si vite?,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/24724561/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2Fac79e8bc5ed2d82b1c7fe691acacee84.m4a
24,24. Faites vos courses en français !,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/24722111/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2Fd40a6691678ba9f21c65ad2d64b8b26b.m4a
23,23. Bilan de l'année 2020 et résolutions pour 2021,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/24676726/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2F6afb09d732c0f099ad43aaa559d3a0ca.m4a
22,22. la vie était-elle mieux sans les réseaux sociaux? ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/24529708/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2Fadefdec30eb4573b72e8b206babd242b.m4a
21,21. Mes 10 destinations préférées ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/24460030/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2F602f301386a2b4aa6273ed12403aef11.m4a
20,20. Trois manières d’avoir plus d’énergie ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/24458976/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-01-08%2F19622fe512ae939ebf7c2ed36afa0b97.m4a
